series,year,value,value_low,value_high,unit,evidence_type,source,notes
verification_to_design_ratio_mean_peak,2007,0.615,,,ratio,derived_from_printed_data_labels,"Wilson Research Group / Siemens EDA functional-verification study, 2020 report Fig. 8 (IC/ASIC)","Ratio of mean peak verification to design engineers per IC/ASIC project; 4.8/7.8 from printed data labels. Raw head-count pairs receipted in chapter2-wilson-verification-staffing.csv (ch02 scissors figure); this chapter reads only the ratio levels"
verification_to_design_ratio_mean_peak,2012,0.988,,,ratio,derived_from_printed_data_labels,"Wilson Research Group / Siemens EDA functional-verification study, 2020 report Fig. 8 (IC/ASIC)","8.4/8.5 from printed data labels"
verification_to_design_ratio_mean_peak,2016,1.105,,,ratio,derived_from_printed_data_labels,"Wilson Research Group / Siemens EDA functional-verification study, 2020 report Fig. 8 (IC/ASIC)","11.6/10.5 from printed data labels"
verification_to_design_ratio_mean_peak,2020,1.107,,,ratio,derived_from_printed_data_labels,"Wilson Research Group / Siemens EDA functional-verification study, 2020 report Fig. 8 (IC/ASIC)","11.4/10.3 from printed data labels"
verification_to_design_ratio_mean_peak,2022,1.009,,,ratio,derived_chart_read_approximation,"Wilson Research Group / Siemens EDA functional-verification study, 2022 report (Foster summary) [@Foster2022WilsonVerificationStudy]","11.8/11.7 from unlabeled bars, constrained by the study's stated +50% design / +146% verification demand growth since 2007; drawn hollow in the figure"
verification_to_design_ratio_processor_max,,5.0,,,ratio,stated,"Foster summary of the 2022 Wilson Research Group study [@Foster2022WilsonVerificationStudy]","Processor projects can reach a 5-to-1 verification-to-design staffing ratio; overall segments roughly 1:1"
project_time_in_verification,2014,57,,,percent,figure_annotation,"Wilson Research Group / Siemens EDA functional-verification study, 2020 report Fig. 7 legend annotation (IC/ASIC)","Average share of project time spent in verification"
project_time_in_verification,2016,54,,,percent,figure_annotation,"Wilson Research Group / Siemens EDA functional-verification study, 2020 report Fig. 7 legend annotation (IC/ASIC)",
project_time_in_verification,2018,53,,,percent,figure_annotation,"Wilson Research Group / Siemens EDA functional-verification study, 2020 report Fig. 7 legend annotation (IC/ASIC)",
project_time_in_verification,2020,56,,,percent,figure_annotation,"Wilson Research Group / Siemens EDA functional-verification study, 2020 report Fig. 7 legend annotation (IC/ASIC)",
project_time_in_verification_median,2022,,50,60,percent,stated_median_range,"Wilson Research Group / Siemens EDA functional-verification study, 2022 report Figure 8-1 callout (Foster summary) [@Foster2022WilsonVerificationStudy]","Median share of project time in verification, reported as a 50-60% range"
