venue,year,category,papers
ASPLOS,1982,interconnect_network,1
ASPLOS,1982,memory,4
ASPLOS,1982,software_compilers_runtime,10
ASPLOS,2006,accelerators,2
ASPLOS,2006,datacenter_cloud,2
ASPLOS,2006,interconnect_network,1
ASPLOS,2006,memory,10
ASPLOS,2006,power_energy_thermal,3
ASPLOS,2006,security_reliability,1
ASPLOS,2006,software_compilers_runtime,5
ASPLOS,2006,verification_tools,3
ASPLOS,2015,accelerators,5
ASPLOS,2015,ai_ml,1
ASPLOS,2015,datacenter_cloud,4
ASPLOS,2015,interconnect_network,4
ASPLOS,2015,memory,9
ASPLOS,2015,power_energy_thermal,4
ASPLOS,2015,security_reliability,3
ASPLOS,2015,software_compilers_runtime,9
ASPLOS,2015,verification_tools,3
ASPLOS,2026,accelerators,35
ASPLOS,2026,ai_ml,46
ASPLOS,2026,datacenter_cloud,15
ASPLOS,2026,interconnect_network,7
ASPLOS,2026,memory,27
ASPLOS,2026,power_energy_thermal,2
ASPLOS,2026,security_reliability,9
ASPLOS,2026,software_compilers_runtime,15
ASPLOS,2026,verification_tools,21
HPCA,1995,accelerators,1
HPCA,1995,datacenter_cloud,1
HPCA,1995,interconnect_network,8
HPCA,1995,memory,13
HPCA,1995,security_reliability,3
HPCA,1995,software_compilers_runtime,4
HPCA,1995,verification_tools,3
HPCA,2005,datacenter_cloud,1
HPCA,2005,interconnect_network,3
HPCA,2005,memory,11
HPCA,2005,power_energy_thermal,12
HPCA,2005,security_reliability,1
HPCA,2005,software_compilers_runtime,1
HPCA,2005,verification_tools,2
HPCA,2015,accelerators,11
HPCA,2015,ai_ml,3
HPCA,2015,datacenter_cloud,5
HPCA,2015,interconnect_network,7
HPCA,2015,memory,19
HPCA,2015,power_energy_thermal,10
HPCA,2015,security_reliability,4
HPCA,2015,software_compilers_runtime,3
HPCA,2026,accelerators,48
HPCA,2026,ai_ml,34
HPCA,2026,datacenter_cloud,16
HPCA,2026,interconnect_network,10
HPCA,2026,memory,29
HPCA,2026,power_energy_thermal,6
HPCA,2026,security_reliability,10
HPCA,2026,software_compilers_runtime,10
HPCA,2026,verification_tools,12
ISCA,1973,datacenter_cloud,1
ISCA,1973,interconnect_network,3
ISCA,1973,memory,1
ISCA,1973,security_reliability,2
ISCA,1973,software_compilers_runtime,2
ISCA,1973,verification_tools,2
ISCA,2005,interconnect_network,6
ISCA,2005,memory,10
ISCA,2005,power_energy_thermal,5
ISCA,2005,security_reliability,5
ISCA,2005,verification_tools,1
ISCA,2015,accelerators,11
ISCA,2015,ai_ml,1
ISCA,2015,datacenter_cloud,7
ISCA,2015,interconnect_network,3
ISCA,2015,memory,26
ISCA,2015,power_energy_thermal,8
ISCA,2015,security_reliability,3
ISCA,2015,software_compilers_runtime,3
ISCA,2015,verification_tools,2
ISCA,2025,accelerators,46
ISCA,2025,ai_ml,34
ISCA,2025,datacenter_cloud,13
ISCA,2025,interconnect_network,15
ISCA,2025,memory,23
ISCA,2025,power_energy_thermal,6
ISCA,2025,security_reliability,6
ISCA,2025,software_compilers_runtime,8
ISCA,2025,verification_tools,13
MICRO,1972,memory,1
MICRO,1972,software_compilers_runtime,5
MICRO,1972,verification_tools,2
MICRO,2005,accelerators,3
MICRO,2005,memory,5
MICRO,2005,power_energy_thermal,4
MICRO,2005,security_reliability,1
MICRO,2005,software_compilers_runtime,4
MICRO,2005,verification_tools,1
MICRO,2015,accelerators,14
MICRO,2015,ai_ml,2
MICRO,2015,datacenter_cloud,5
MICRO,2015,interconnect_network,1
MICRO,2015,memory,22
MICRO,2015,power_energy_thermal,12
MICRO,2015,security_reliability,2
MICRO,2015,software_compilers_runtime,4
MICRO,2015,verification_tools,5
MICRO,2025,accelerators,48
MICRO,2025,ai_ml,39
MICRO,2025,datacenter_cloud,13
MICRO,2025,interconnect_network,12
MICRO,2025,memory,37
MICRO,2025,power_energy_thermal,10
MICRO,2025,security_reliability,13
MICRO,2025,software_compilers_runtime,12
MICRO,2025,verification_tools,14
