era,category,papers,total_papers,share
early,accelerators,1,104,0.0096
early,datacenter_cloud,2,104,0.0192
early,interconnect_network,12,104,0.1154
early,memory,19,104,0.1827
early,security_reliability,5,104,0.0481
early,software_compilers_runtime,21,104,0.2019
early,verification_tools,7,104,0.0673
2005_2006,accelerators,5,152,0.0329
2005_2006,datacenter_cloud,3,152,0.0197
2005_2006,interconnect_network,10,152,0.0658
2005_2006,memory,36,152,0.2368
2005_2006,power_energy_thermal,24,152,0.1579
2005_2006,security_reliability,8,152,0.0526
2005_2006,software_compilers_runtime,10,152,0.0658
2005_2006,verification_tools,7,152,0.0461
2015,accelerators,41,224,0.183
2015,ai_ml,7,224,0.0312
2015,datacenter_cloud,21,224,0.0938
2015,interconnect_network,15,224,0.067
2015,memory,76,224,0.3393
2015,power_energy_thermal,34,224,0.1518
2015,security_reliability,12,224,0.0536
2015,software_compilers_runtime,19,224,0.0848
2015,verification_tools,10,224,0.0446
latest,accelerators,177,535,0.3308
latest,ai_ml,153,535,0.286
latest,datacenter_cloud,57,535,0.1065
latest,interconnect_network,44,535,0.0822
latest,memory,116,535,0.2168
latest,power_energy_thermal,24,535,0.0449
latest,security_reliability,38,535,0.071
latest,software_compilers_runtime,45,535,0.0841
latest,verification_tools,60,535,0.1121
